City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,whakatane,-37.9585,176.9854,290.1,63,32,2.68,NZ,1730679899
164,glace bay,46.1969,-59.957,275.98,76,75,6.17,CA,1730679900
165,kone,-21.0595,164.8658,303.62,37,93,1.29,NC,1730679901
166,carnarvon,-24.8667,113.6333,294.52,70,13,6.48,AU,1730679902
167,les avirons,-21.2418,55.3394,294.2,68,0,3.09,RE,1730679904
168,weno,7.4515,151.8468,305.12,79,100,5.14,FM,1730679905
169,port augusta,-32.5,137.7667,293.92,51,8,4.57,AU,1730679906
170,kununurra,-15.7667,128.7333,306.14,52,4,2.57,AU,1730679907
171,hammerfest,70.6634,23.6821,275.4,55,100,3.09,NO,1730679908
172,namtsy,62.7161,129.6658,250.47,97,98,0.9,RU,1730679909
173,sitangkai,4.6628,119.3928,300.66,80,100,4.38,PH,1730679910
174,el abiodh sidi cheikh,32.893,0.5484,288.43,65,40,3.1,DZ,1730679911
175,bathsheba,13.2167,-59.5167,302.49,79,40,6.69,BB,1730679912
176,nueva gerona,21.8833,-82.8,300.16,73,12,6.33,CU,1730679913
177,zagora,30.3484,-5.8365,293.11,35,100,1.7,MA,1730679914
178,blagoveshchensk,50.2667,127.5333,270.49,74,75,6.0,RU,1730679703
179,volodarskiy,46.4013,48.5409,275.16,69,3,3.59,RU,1730679918
180,san julian,21.0167,-102.1667,292.47,35,44,4.33,MX,1730679919
181,kalevala,65.2,31.1667,271.1,71,22,5.28,RU,1730679853
182,codrington,-38.2667,141.9667,288.86,57,84,4.49,AU,1730679921
183,bilibino,68.0546,166.4372,249.99,97,48,2.27,RU,1730679922
184,smithfield,41.922,-71.5495,276.62,66,0,0.45,US,1730679751
185,san andres,12.5847,-81.7006,302.16,79,40,2.57,CO,1730679924
186,sao gabriel da cachoeira,-0.1303,-67.0892,297.3,94,100,2.02,BR,1730679925
187,laojunmiao,39.8333,97.7333,275.02,48,77,0.36,CN,1730679926
188,kulhudhuffushi,6.6221,73.07,301.08,74,93,3.83,MV,1730679927
189,aripuana,-9.1667,-60.6333,297.69,87,71,0.79,BR,1730679928
190,ariquemes,-9.9133,-63.0408,296.0,99,100,1.89,BR,1730679875
191,yuzhno-kurilsk,44.0306,145.8556,279.67,95,97,7.16,RU,1730679931
192,maputo,-25.9653,32.5892,296.97,88,20,6.17,MZ,1730679932
193,santa ana,33.7456,-117.8678,295.36,52,0,5.14,US,1730679756
194,san marcos,33.1434,-117.1661,291.86,65,0,3.6,US,1730679892
195,tokar,18.4254,37.729,301.93,69,0,4.0,SD,1730679935
196,hasaki,35.7333,140.8333,293.67,57,0,3.97,JP,1730679936
197,vorgashor,67.5833,63.95,268.5,90,100,7.01,RU,1730679937
198,dudinka,69.4058,86.1778,269.52,92,100,12.72,RU,1730679938
199,mashhad,36.297,59.6062,286.23,71,0,0.0,IR,1730679940
200,champerico,14.3,-91.9167,300.99,76,91,2.94,GT,1730679941
201,rongelap,11.1635,166.8941,300.69,79,100,2.55,MH,1730679942
202,castelnovo ne'monti,44.4356,10.4033,281.77,88,14,0.94,IT,1730679943
203,amboasary,-25.0333,46.3833,295.63,87,0,3.4,MG,1730679944
204,loango,-4.6719,11.8312,298.96,94,75,3.6,CG,1730679945
205,usogorsk,63.4106,48.6872,269.44,84,79,4.16,RU,1730679947
206,masuguru,-11.3667,38.4167,297.97,75,19,2.52,TZ,1730679948
207,egilsstadir,65.2653,-14.3948,283.1,76,98,6.17,IS,1730679949
208,isafjordur,66.0755,-23.124,277.68,98,100,4.88,IS,1730679951
209,bhanvad,21.9264,69.7736,298.18,57,0,2.56,IN,1730679952
210,puerto colombia,10.9878,-74.9547,299.2,89,100,4.97,CO,1730679954
211,hongwon,40.0253,127.9558,286.45,62,64,2.43,KP,1730679955
212,lugovoye,42.9094,72.7178,288.2,24,93,3.99,KZ,1730679956
213,invercargill,-46.4,168.35,288.72,61,100,5.81,NZ,1730679957
214,longyearbyen,78.2186,15.6401,271.06,74,75,3.6,SJ,1730679958
215,suva,-18.1416,178.4415,299.86,74,75,4.12,FJ,1730679959
216,formosa do rio preto,-11.0483,-45.1931,299.55,58,55,0.96,BR,1730679960
217,fort-shevchenko,44.5086,50.263,280.76,55,98,7.89,KZ,1730679961
218,susangerd,31.5608,48.1831,297.24,51,81,1.58,IR,1730679962
219,kalmunai,7.4167,81.8167,298.29,86,100,2.47,LK,1730679964
220,isangel,-19.55,169.2667,300.21,69,75,5.14,VU,1730679965
221,alegrete,-29.7831,-55.7919,296.57,81,73,6.84,BR,1730679966
222,inarajan village,13.2736,144.7484,303.93,85,93,4.57,GU,1730679967
223,nouadhibou,20.931,-17.0347,292.14,88,9,4.63,MR,1730679968
224,tazovsky,67.4667,78.7,271.58,86,100,11.31,RU,1730679969
225,keflavik,64.0049,-22.5624,283.39,100,100,11.83,IS,1730679970
226,san pedro pochutla,15.7333,-96.4667,300.99,84,65,2.4,MX,1730679971
227,sao vicente,-23.9631,-46.3919,294.81,26,100,0.66,BR,1730679442
228,holualoa,19.6228,-155.9522,298.29,85,88,2.69,US,1730679973
229,cadale,2.7603,46.3222,299.16,83,66,3.23,SO,1730679974
230,lamia,38.9,22.4333,289.19,76,99,0.45,GR,1730679975
231,enewetak,11.3474,162.3373,301.55,72,94,1.57,MH,1730679976
232,kharod,21.75,82.5667,292.52,68,5,0.67,IN,1730679977
233,aykhal,66.0,111.5,248.54,100,86,2.83,RU,1730679979
234,novyy urgal,51.0736,132.5642,270.05,91,100,2.01,RU,1730679980
235,purpe,64.4803,76.6897,269.75,91,96,12.06,RU,1730679981
236,vernon,50.2581,-119.2691,280.79,83,78,0.51,CA,1730679769
237,bikenibeu village,1.3673,173.1241,303.13,74,75,1.03,KI,1730679983
238,tharangambadi,11.0319,79.8528,297.68,88,78,2.75,IN,1730679984
239,wotho,10.1657,166.0102,301.14,77,90,3.03,MH,1730679985
240,uturoa,-16.7333,-151.4333,299.21,66,17,2.01,PF,1730679986
241,queenstown,-31.8976,26.8753,287.83,90,90,2.71,ZA,1730679987
242,howrah,22.5892,88.3103,297.15,100,40,0.0,IN,1730679988
243,mazatlan,23.2167,-106.4167,301.13,75,75,2.06,MX,1730679989
244,bahia de caraquez,-0.6,-80.4167,295.31,77,91,5.64,EC,1730679990
245,chul'man,56.8479,124.9104,257.13,97,99,0.7,RU,1730679991
246,sabzevar,36.2126,57.6819,290.03,40,0,1.06,IR,1730679993
247,dunedin,-45.8742,170.5036,288.43,53,100,1.39,NZ,1730679994
248,kudahuvadhoo,2.6708,72.8944,301.42,70,100,6.46,MV,1730679996
249,merizo village,13.2658,144.6691,303.7,85,96,4.61,GU,1730679997
250,hami,42.8,93.45,279.86,37,4,2.41,CN,1730679999
251,san pascual,13.7975,121.0342,299.82,82,60,2.27,PH,1730680000
252,chachapoyas,-6.2317,-77.869,286.72,91,100,0.37,PE,1730680001
253,remire-montjoly,4.9167,-52.2667,300.17,83,0,3.09,GF,1730680002
254,chibougamau,49.9168,-74.3659,271.94,86,0,2.06,CA,1730680003
255,ulanhot,46.0833,122.0833,272.32,44,12,5.95,CN,1730680006
256,oasis,33.4659,-116.0989,297.85,16,0,5.81,US,1730680007
257,veraval,20.9,70.3667,299.4,54,4,2.66,IN,1730680008
258,castanos,26.7833,-101.4167,304.92,16,40,3.09,MX,1730680009
259,la passe,45.5549,-0.8967,287.56,89,30,4.1,FR,1730680010
260,yingchuan,34.1628,113.4639,286.89,34,94,6.9,CN,1730680011
261,bay roberts,47.5999,-53.2648,275.33,77,98,0.89,CA,1730680012
262,carutapera,-1.195,-46.02,299.13,77,79,5.04,BR,1730680013
263,kapuskasing,49.4169,-82.4331,276.2,93,100,2.57,CA,1730679902
264,candido mendes,-1.4467,-45.7167,298.77,76,75,3.09,BR,1730680015
265,turkmenbasy,40.0222,52.9552,283.58,76,100,10.29,TM,1730679973
266,nahiyat ash shinafiyah,31.5874,44.6602,296.96,28,9,4.45,IQ,1730680017
267,carmo,-21.9336,-42.6086,294.34,94,100,1.05,BR,1730680018
268,sinabang,2.4803,96.3801,299.51,80,100,1.17,ID,1730680020
269,ivins,37.1686,-113.6794,285.77,32,67,3.58,US,1730680022
270,sitka,57.0531,-135.33,282.09,71,100,4.63,US,1730680023
271,cidreira,-30.1811,-50.2056,294.77,81,100,7.88,BR,1730680024
272,nadi,-17.8,177.4167,302.15,54,20,6.69,FJ,1730680025
273,quelimane,-17.8786,36.8883,297.12,88,75,1.54,MZ,1730680026
274,kanye,-24.9667,25.3327,294.55,41,80,1.82,BW,1730680028
275,atherton,53.5237,-2.4935,283.29,82,88,0.89,GB,1730679873
276,tripoli,32.8752,13.1875,293.63,66,2,3.08,LY,1730680030
277,kayes,14.0,-11.0,301.44,22,100,0.57,ML,1730680031
278,vikarabad,17.3333,77.9,293.09,86,74,2.72,IN,1730680032
279,memmelsdorf,49.9301,10.9592,279.64,94,5,0.87,DE,1730680033
280,vorkuta,67.5,64.0,268.67,90,100,6.47,RU,1730680034
281,mirny,62.5353,113.9611,247.23,100,100,0.78,RU,1730680035
282,khandyga,62.6667,135.6,254.89,94,100,0.56,RU,1730680036
283,porto novo,6.4965,2.6036,300.05,85,20,0.58,BJ,1730680037
284,chonchi,-42.6128,-73.8092,281.55,94,39,3.66,CL,1730680038
285,kaifeng,34.7911,114.3483,285.43,25,58,6.76,CN,1730680040
286,namie,37.4833,141.0,292.03,71,0,5.09,JP,1730680041
287,gewane,10.1664,40.6453,298.76,42,90,0.96,ET,1730680042
288,acarau,-2.8856,-40.12,298.52,79,86,8.52,BR,1730680043
289,ad dabbah,18.05,30.95,294.31,28,1,4.34,SD,1730680044
290,sovetskaya gavan',48.9723,140.2878,275.29,83,100,3.83,RU,1730680045
291,korla,41.7597,86.1469,281.05,55,1,0.09,CN,1730680046
292,champasak,14.75,106.0,296.16,86,36,0.51,LA,1730680047
293,cill airne,52.05,-9.5167,286.24,71,100,2.28,IE,1730680048
294,concepcion,-36.827,-73.0498,285.04,94,100,3.6,CL,1730679847
295,sur,22.5667,59.5289,301.04,38,0,2.55,OM,1730680050
296,qujing,25.4833,103.7833,285.13,93,76,1.13,CN,1730680051
297,karachi,24.9056,67.0822,298.05,88,20,1.54,PK,1730680052
298,puerto real,36.5282,-6.1901,292.73,77,0,8.23,ES,1730680054
299,waddan,29.1614,16.139,290.28,75,0,1.72,LY,1730680055
300,gisborne,-38.6533,178.0042,286.64,51,27,5.72,NZ,1730680056
301,lu-uk,5.9684,121.3122,300.16,81,100,0.8,PH,1730680057
302,green river,41.5286,-109.4662,275.92,70,100,1.34,US,1730680058
303,alotau,-10.3069,150.4462,301.08,83,100,2.55,PG,1730680059
304,plouzane,48.3833,-4.6167,282.25,93,100,1.54,FR,1730680060
305,neiafu,-18.65,-173.9833,301.53,78,75,5.66,TO,1730680061
306,conduaga,8.862,117.4893,300.28,83,100,2.08,PH,1730680062
307,diapaga,12.0708,1.7889,296.94,23,12,2.91,BF,1730680063
308,'ali al gharbi,32.4633,46.6864,295.26,65,12,4.4,IQ,1730680064
309,mendi,-6.1761,143.6513,291.9,81,86,2.0,PG,1730680065
310,terra santa,-2.1042,-56.4869,302.95,43,23,1.72,BR,1730680066
311,queanbeyan,-35.35,149.2333,296.71,29,75,7.2,AU,1730680067
312,usinsk,65.9939,57.5281,271.42,96,100,9.71,RU,1730680069
313,guarena,38.8595,-6.0999,289.61,64,100,2.35,ES,1730680070
314,sandnessjoen,66.0217,12.6316,280.18,64,99,5.92,NO,1730680071
315,bad berleburg,51.05,8.4,277.52,81,8,0.53,DE,1730680072
316,cannonvale,-20.2833,148.7,299.81,60,45,5.43,AU,1730680073
317,kotido,2.9806,34.1331,296.01,59,70,2.84,UG,1730680074
318,yoloten,37.2989,62.3597,294.47,32,98,2.26,TM,1730680075
319,resplendor,-19.3256,-41.2553,295.02,92,99,1.19,BR,1730680076
320,maintirano,-18.0667,44.0167,299.1,80,16,3.94,MG,1730680077
321,erenhot,43.6475,111.9767,271.15,34,39,3.63,CN,1730680078
322,conceicao da feira,-12.5058,-38.9986,294.53,84,50,3.33,BR,1730680079
323,yonan-up,37.9089,126.1611,288.36,78,90,4.86,KP,1730680080
324,bryne,58.7354,5.6477,284.23,86,100,2.57,NO,1730680081
325,sawakin,19.1059,37.3321,301.29,74,0,5.32,SD,1730680082
326,kuqa,41.7278,82.9364,281.18,51,1,0.39,CN,1730680084
327,haiku-pauwela,20.9219,-156.3051,302.16,67,40,13.41,US,1730679877
328,belmonte,-15.8631,-38.8828,296.8,87,57,2.69,BR,1730680086
329,vadso,70.0744,29.7487,273.24,93,100,9.26,NO,1730680087
330,hirara,24.8,125.2833,300.07,73,40,7.72,JP,1730680088
